country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,iso_code,child_mortality,health_expenditure_pct_gdp,hiv_prevalence,life_expectancy,maternal_mortality,physicians_per_1000,tb_incidence,vaccination_dpt,social_poverty_mpi,social_literacy,social_poverty_2_15,social_schooling,social_undernourishment
Sri Lanka,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810,LKA,9.2,3.46786141,0.1,75.757,23.0,0.807,74.0,99.0,2.9,92.5346618196112,3.8,97.26222,6.1
Saint Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920,4.44,71.6,2.07,6230,VCT,18.2,4.17431307,1.0,70.355,64.0,,4.6,98.0,,,,90.44287,4.6
Sudan,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480,SDN,65.4,5.67619705,0.1,63.99,309.0,0.396,94.0,94.0,52.3,,10.1,56.31639,8.4
Suriname,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300,SUR,21.1,4.52127838,1.6,70.33,120.0,1.006,37.0,71.0,2.9,92.870002746582,,86.34084,8.0
Sweden,3.0,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100,SWE,2.9,11.07212639,0.1,82.2536585365854,5.0,4.109,7.8,98.0,,,0.5,99.46083,2.5
Switzerland,4.5,64.0,11.5,53.3,55500,0.317,82.2,1.52,74600,CHE,4.3,10.6751194,0.2,83.1975609756098,6.0,4.125,6.2,96.0,,,0.0,93.77291,2.5
Tajikistan,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738,TJK,33.0,6.6654973,0.2,69.697,21.0,1.727,122.0,97.0,7.4,99.7298704511844,13.3,97.68778,18.5
Tanzania,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702,TZA,56.3,4.01492071,4.5,63.364,454.0,0.06,327.0,97.0,,79.8949432291161,51.5,83.32041,21.1
Thailand,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080,THA,12.3,3.68448091,1.5,76.279,34.0,0.453,167.0,99.0,,93.6999969482422,0.2,,8.2
Timor-Leste,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600,TLS,61.9,7.59958553,0.2,65.027,327.0,0.678,483.0,77.0,48.3,64.4499969482422,44.0,91.41095,14.8
Togo,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488,TGO,77.7,4.90473413,2.4,58.776,490.0,0.047,66.0,84.0,37.6,63.75,61.7,90.31769,20.0
Tonga,17.4,12.4,5.07,60.3,4980,3.68,69.9,3.91,3550,TON,12.1,5.19583178,,71.721,80.0,,12.0,98.0,,99.3899993896484,4.0,85.94145,
Tunisia,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140,TUN,18.3,6.45006084,0.1,74.784,42.0,1.253,47.0,98.0,,79.0400009155273,0.7,97.80391,2.9
Türkiye,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700,TUR,14.0,4.32517862,,76.452,20.0,1.738,23.0,96.0,,95.2600021362305,1.0,94.56716,2.5
Turkmenistan,62.0,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440,TKM,42.9,4.25741673,,69.001,6.0,2.002,61.0,98.0,,,,,3.6
Uganda,81.0,17.1,9.01,28.6,1540,10.6,56.8,6.15,595,UGA,60.2,5.33653069,6.9,63.057,311.0,0.097,202.0,85.0,57.2,68.5100021362305,60.1,95.49324,23.8
Ukraine,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970,UKR,9.8,7.19506168,,71.803,19.0,2.936,115.0,23.0,,,0.0,91.66472,2.5
United Arab Emirates,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000,ARE,7.9,3.53405499,0.1,81.99,3.0,2.232,1.1,99.0,,,0.0,90.21069,3.5
United Kingdom,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900,GBR,4.5,9.97686195,0.2,81.3048780487805,9.0,2.738,11.0,95.0,,,0.4,99.89948,2.5
United States,7.3,12.4,17.9,15.8,49400,1.22,78.7,1.93,48400,USA,6.8,16.1415844,,78.8414634146341,17.0,,3.3,95.0,,,1.3,93.2305,2.5
Uruguay,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900,URY,9.3,8.038908,,77.194,16.0,4.008,33.0,95.0,,98.3600006103516,0.2,96.62933,2.5
Uzbekistan,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380,UZB,21.3,4.43092394,,70.973,32.0,2.39,81.0,99.0,,99.9899978637695,,94.09132,2.5
Vanuatu,29.2,46.6,5.25,52.7,2950,2.62,63.0,3.5,2970,VUT,18.8,3.64018846,0.1,70.043,110.0,0.169,89.0,86.0,,,25.7,79.84105,7.4
Venezuela,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500,VEN,18.3,,0.5,72.837,133.0,1.664,29.0,78.0,,95.9871889937429,,91.56032,2.5
Vietnam,23.3,72.0,6.84,80.2,4490,12.1,73.1,1.95,1310,VNM,22.0,4.69078779,0.4,73.886,59.0,0.783,205.0,95.0,,93.5199966430664,3.4,97.96511,8.3
Yemen,56.3,30.0,5.18,34.4,4480,23.6,67.5,4.67,1310,YEM,48.7,5.8377471,0.1,68.003,134.0,0.27,43.0,70.0,,,33.3,85.43356,
Zambia,83.1,37.0,5.89,30.9,3280,14.0,52.0,5.4,1460,ZMB,62.6,3.82924223,11.9,60.109,174.0,0.09,406.0,86.0,47.9,83.1399993896484,67.9,86.61205,37.3
